domain,aspect,sentiment,tweet_text
e-commerce,refund policy,neutral,No real complaints or praise for the refund policy of this e-commerce.
smartphones,camera,negative,Wish the camera on this smartphones was better.
streaming services,ads,positive,Absolutely loving the ads of my new streaming services.
streaming services,subscription price,positive,I'm genuinely impressed with the subscription price on this streaming services.
ride-sharing,car cleanliness,neutral,"The car cleanliness on the ride-sharing is okay, I guess."
e-commerce,customer support,neutral,"The customer support on the e-commerce is okay, I guess."
e-commerce,product quality,positive,"Hands down, this is the best product quality I've experienced with any e-commerce."
ride-sharing,wait time,negative,Really disappointed by the wait time in this ride-sharing.
ride-sharing,driver behavior,negative,Really disappointed by the driver behavior in this ride-sharing.
restaurants,price,negative,Wish the price on this restaurants was better.
e-commerce,packaging,negative,Really disappointed by the packaging in this e-commerce.
smartphones,performance,neutral,"The smartphones's performance does the job, nothing exciting."
e-commerce,refund policy,neutral,"The refund policy on the e-commerce is okay, I guess."
e-commerce,packaging,neutral,No real complaints or praise for the packaging of this e-commerce.
e-commerce,refund policy,negative,Still can't get over how bad the refund policy is on this e-commerce.
restaurants,ambience,positive,I'm genuinely impressed with the ambience on this restaurants.
ride-sharing,car cleanliness,negative,Really disappointed by the car cleanliness in this ride-sharing.
smartphones,camera,positive,I'm genuinely impressed with the camera on this smartphones.
smartphones,performance,negative,Wish the performance on this smartphones was better.
e-commerce,customer support,neutral,"The e-commerce's customer support does the job, nothing exciting."
smartphones,screen,negative,This smartphones seriously dropped the ball on screen.
smartphones,battery life,negative,The battery life totally ruined my experience with this smartphones.
e-commerce,customer support,neutral,Not much to say about the customer support—it's just fine.
smartphones,screen,neutral,"The smartphones's screen does the job, nothing exciting."
ride-sharing,ride cost,neutral,"The ride cost on the ride-sharing is okay, I guess."
streaming services,ads,neutral,"The streaming services's ads does the job, nothing exciting."
ride-sharing,ride cost,positive,Absolutely loving the ride cost of my new ride-sharing.
streaming services,subscription price,neutral,"The streaming services's subscription price does the job, nothing exciting."
streaming services,video quality,neutral,Not much to say about the video quality—it's just fine.
smartphones,design,positive,The design on this smartphones exceeded all expectations.
ride-sharing,wait time,negative,Still can't get over how bad the wait time is on this ride-sharing.
e-commerce,refund policy,neutral,"Honestly, the refund policy feels pretty average for a e-commerce."
e-commerce,product quality,negative,Still can't get over how bad the product quality is on this e-commerce.
streaming services,video quality,negative,The video quality totally ruined my experience with this streaming services.
e-commerce,packaging,positive,"Hands down, this is the best packaging I've experienced with any e-commerce."
smartphones,performance,positive,I'm genuinely impressed with the performance on this smartphones.
streaming services,ads,neutral,"Honestly, the ads feels pretty average for a streaming services."
ride-sharing,driver behavior,negative,The driver behavior totally ruined my experience with this ride-sharing.
streaming services,app experience,positive,Absolutely loving the app experience of my new streaming services.
smartphones,design,positive,The design on this smartphones exceeded all expectations.
smartphones,camera,neutral,"The smartphones's camera does the job, nothing exciting."
streaming services,content variety,neutral,"The content variety on the streaming services is okay, I guess."
smartphones,design,negative,This smartphones seriously dropped the ball on design.
streaming services,subscription price,positive,I'm genuinely impressed with the subscription price on this streaming services.
smartphones,performance,negative,The performance totally ruined my experience with this smartphones.
e-commerce,refund policy,negative,Really disappointed by the refund policy in this e-commerce.
restaurants,ambience,positive,Totally satisfied with the ambience—solid upgrade for the restaurants.
ride-sharing,driver behavior,negative,The driver behavior totally ruined my experience with this ride-sharing.
